Time[s],Speed[m/s],X[m],Z[m],Y[m]
62.82499671,3.566734973,84.03230563,43.98871298,-3.39978648
63.00889421,3.541867069,82.51642544,44.92275036,-3.40584768
64.04031634,3.403919062,79.03933188,46.21261151,-3.441634942
65.08650947,3.271879919,75.06552638,46.22373101,-3.480668367
66.13281465,3.154143636,71.63127737,45.20073768,-3.521903245
67.01498628,3.069048262,68.86504079,43.86639856,-3.557960223
68.04765964,2.987603248,66.02172949,42.02056278,-3.601224276
69.008219,2.929756664,63.37538808,40.94197199,-3.642065995
70.00390148,2.887444318,60.75474261,39.36300403,-3.684571281
71.00297499,2.860684448,58.30538678,37.01679108,-3.726905928
72.00208783,2.844105891,56.19859031,35.91596131,-3.768332167
73.00317121,2.827801189,53.69783462,35.27103073,-3.808164475
74.00595498,2.797765087,50.93157775,35.99379775,-3.845409355
75.00681019,2.738415039,48.53357655,37.895231,-3.878803394
76.02623105,2.633747111,46.78645914,39.77442526,-3.907771184
77.04026008,2.477649955,45.78443306,41.39787119,-3.930639385
77.99115181,2.285136015,44.74814708,43.59953074,-3.946361316
78.9896493,2.044155168,43.76324824,45.60103942,-3.95715337
79.99137926,1.778662534,42.95819915,47.54695063,-3.962909377
80.98379517,1.512021723,42.79547474,48.25859816,-3.964758019
81.98713803,1.260267274,42.70126404,49.00360417,-3.963966485
82.99504185,1.048818901,42.06750134,50.73824503,-3.961550149
83.9846952,0.908587651,41.42517709,52.02810618,-3.958275787
84.98353553,0.86752023,40.92844528,53.25125037,-3.954239152
85.98785233,0.964326995,40.63725619,54.2631242,-3.948976998
87.03827953,1.247476692,40.21760349,55.3305955,-3.940730047
88.04721642,1.707829174,39.67805045,56.65381513,-3.927452133
88.42799687,1.927307044,39.55815034,56.8428465,-3.920234779
88.9880445,2.289906363,37.98232331,58.83323569,-3.906345095
89.97748494,3.018763702,35.58432632,62.05788856,-3.868162823
90.98603368,3.813842043,32.83519754,65.51605078,-3.802349298
91.98772073,4.568052984,29.40949891,68.89637655,-3.697452563
93.05473375,5.233218572,22.83217632,71.89863957,-3.528846249
94.05179858,5.651214684,17.97626116,76.04621033,-3.31134704
94.99974585,5.829611456,13.0518386,79.63780646,-3.054320326
96.00082707,5.787388229,7.579312766,82.64006948,-2.744631995
96.9965148,5.554248742,2.038277875,84.85284852,-2.419635782
97.99152136,5.20839854,-2.389409453,85.89808083,-2.10013422
99.01229334,4.833846812,-8.572756239,85.4866596,-1.793919517
99.9951539,4.539242788,-12.71782607,84.95292396,-1.525960539
100.9856169,4.362964741,-16.65735661,84.06336454,-1.281620751
102.0032601,4.320450061,-20.56263325,82.43991861,-1.05316072
103.0353501,4.386797607,-24.81904548,80.23825907,-0.841257612
104.0233884,4.489471181,-29.50366761,78.70376908,-0.656701603
105.0078092,4.56006118,-33.99987756,77.53622235,-0.492959528
106.0062139,4.544411613,-38.57316792,76.12404678,-0.350638315
106.98825,4.422508424,-43.03512593,74.60067629,-0.235690939
107.9953036,4.207626661,-47.20590216,73.16626173,-0.14268656
108.9809275,3.962469074,-50.6059064,70.95348269,-0.072718965
110.0243225,3.742650013,-52.56713311,67.58427641,-0.016343148
111.0413511,3.637827163,-53.21803914,63.83700739,0.026016205
112.021538,3.677464949,-53.04677843,60.41220365,0.058832889
113.016597,3.859124315,-51.53949672,57.27650671,0.086727171
113.9962642,4.141909878,-49.24430911,53.48475972,0.110434433
115.0043523,4.479761459,-46.71788288,50.03771699,0.131946393
116.0242188,4.801900405,-43.96878725,46.06805811,0.151484673
117.0231595,5.04753709,-41.0655397,40.74182112,0.169123558
118.022295,5.202551769,-38.88168393,35.615735,0.185862131
119.056685,5.276632848,-36.06406395,31.89070496,0.202660851
120.0079272,5.294030922,-33.26357075,27.93216557,0.217823432
121.0078516,5.29265379,-30.34317253,24.60743727,0.233539914
122.0234261,5.29743209,-27.53411027,20.42650802,0.249332516
123.0170922,5.321120402,-24.77643165,15.911994,0.264720857
124.0034184,5.363409869,-22.3784479,11.88673766,0.280073684
125.0164948,5.418536458,-19.53511902,7.917078777,0.29606914
126.036526,5.475827858,-16.79455872,3.891822432,0.312483157
127.1116645,5.529899371,-14.26810426,-0.956276369,0.330000907
128.1508839,5.57405462,-10.8852199,-7.672449938,0.346681889
129.142138,5.613236053,-7.476634889,-12.50942925,0.361536217
130.1741445,5.660003362,-4.299282561,-18.58067224,0.374603281
131.1158934,5.715724848,-2.509343173,-21.5273378,0.382911004
132.1312854,5.793196627,2.389444802,-27.92104608,0.386097871
133.0790374,5.877987583,5.575375122,-33.32511952,0.381801976
134.0335114,5.966081838,9.549228086,-38.55128107,0.368668003
134.9970243,6.04570797,12.80368288,-44.16662486,0.345197243
136.1249816,6.111291429,16.18660604,-49.05920164,0.304237978
137.131206,6.131737823,19.68943778,-55.28611753,0.256553195
138.1571317,6.102360041,22.91821359,-60.76802741,0.199851264
139.1668239,6.009227878,25.47040845,-65.9385915,0.139811763
140.1846764,5.83614773,28.0140442,-71.60953276,0.079117755
141.1931772,5.579185244,31.40555461,-76.78009685,0.022184118
142.1981025,5.249177475,34.04340791,-82.77350339,-0.029435648
143.1524873,4.900097379,37.44348605,-86.78764025,-0.073456529
144.0851545,4.57659774,40.48385851,-89.86773971,-0.11262501
145.0972502,4.317540703,43.40433551,-93.58165026,-0.152663884
145.8919969,4.230061016,44.44063278,-94.60464359,-0.183933598
146.0114918,4.227856938,45.1514814,-95.29405213,-0.188719938
147.0228515,4.335529047,50.13596757,-96.7173472,-0.231810156
148.1520545,4.720576392,55.59147899,-95.59427844,-0.289367954
